member_id,first_name,last_name,email,phone_number,current_tier,current_points_balance,lifetime_spend_amount,registered_at
M-1852,Jerome,Flores,jerome.flores@aim.edu.ph,+63 928 147 7187,Standard,4,0.00,2026-08-18T13:31:00+08:00
M-1873,Angelo,Valdez,angelo.valdez@gmail.com,+63 956 328 0231,Standard,18,0.00,2026-08-18T14:45:00+08:00
M-1953,Eileen,Manalo,eileen.manalo@aim.edu.ph,+63 908 809 7946,Standard,23,0.00,2026-08-18T15:51:00+08:00
M-1985,Rochelle,Soriano,rochelle.soriano@aim.edu.ph,+63 998 511 7989,Standard,26,0.00,2026-08-18T21:33:00+08:00
M-2009,Marvin,Valenzuela,marvin.valenzuela@yahoo.com,+63 927 946 8532,Standard,28,0.00,2026-08-18T16:42:00+08:00
M-2041,Angelo,Del Rosario,angelo.del rosario@aim.edu.ph,+63 945 706 4491,Standard,46,0.00,2026-08-18T09:56:00+08:00
M-2046,Liezl,Alvarez,liezl.alvarez@icloud.com,+63 928 222 3240,Standard,39,115.00,2026-08-18T10:40:00+08:00
M-2082,Charmaine,Santiago,charmaine.santiago1@icloud.com,+63 917 891 8912,Standard,25,0.00,2026-08-18T11:55:00+08:00
M-2129,Christian,Perez,christian.perez@aim.edu.ph,+63 977 947 7402,Standard,110,600.00,2026-08-18T11:52:00+08:00
M-2149,Anthony,Valenzuela,anthony.valenzuela1@icloud.com,+63 908 915 2488,Standard,37,100.00,2026-08-18T14:38:00+08:00
M-2173,Bryan,Hernandez,bryan.hernandez@aim.edu.ph,+63 918 319 6149,Standard,3,0.00,2026-08-18T21:37:00+08:00
