member_id,first_name,last_name,email,phone_number,current_tier,current_points_balance,lifetime_spend_amount,registered_at
M-1001,John,Valdez,john.valdez@outlook.ph,+63 945 528 3671,Silver,293,9020.00,2026-06-24T21:13:02+08:00
M-1002,Nathaniel,Salazar,nathaniel.salazar@icloud.com,+63 927 223 9197,Gold,395,13917.00,2026-03-09T10:27:09+08:00
M-1003,Samantha,Samson,samantha.samson@aim.edu.ph,+63 908 866 4433,Silver,334,7663.00,2026-02-09T00:25:06+08:00
M-1004,Dianne,Perez,dianne.perez@gmail.com,+63 928 739 8231,Gold,242,10218.00,2026-03-12T00:52:15+08:00
M-1005,Daniel,Salazar,daniel.salazar@gmail.com,+63 977 560 5016,Silver,236,7977.00,2026-04-21T05:25:13+08:00
M-1006,Kristine,Valenzuela,kristine.valenzuela@aim.edu.ph,+63 908 486 0745,Gold,354,10242.00,2026-02-12T20:38:06+08:00
M-1007,Giselle,Aquino,giselle.aquino@yahoo.com,+63 918 166 1401,Gold,187,13057.00,2026-06-03T11:11:28+08:00
M-1008,Jose,Ignacio,jose.ignacio@outlook.ph,+63 927 251 2187,Silver,176,8906.00,2026-03-05T18:37:17+08:00
M-1009,Camille,Villanueva,camille.villanueva@yahoo.com,+63 956 713 8070,Silver,55,6953.00,2026-04-08T18:31:59+08:00
M-1010,Marvin,Castillo,marvin.castillo@outlook.ph,+63 945 595 1651,Silver,694,8778.00,2026-06-06T11:59:43+08:00
M-1011,Christine,Ocampo,christine.ocampo@yahoo.com,+63 928 766 7458,Gold,832,10648.00,2026-03-13T08:38:07+08:00
M-1012,Janice,Santiago,janice.santiago@gmail.com,+63 908 307 3474,Silver,349,6210.00,2026-03-13T21:44:01+08:00
M-1013,Joy,Manalo,joy.manalo@outlook.ph,+63 918 492 2880,Silver,170,9807.00,2026-01-06T04:37:23+08:00
M-1014,Kevin,Padilla,kevin.padilla@yahoo.com,+63 918 878 9116,Gold,289,13662.00,2026-05-07T09:40:30+08:00
M-1015,Angelo,Tomas,angelo.tomas@gmail.com,+63 917 610 6390,Silver,870,8168.00,2026-01-23T21:09:38+08:00
M-1016,Patricia,Domingo,patricia.domingo@yahoo.com,+63 977 861 0879,Silver,164,9840.00,2026-05-11T12:41:32+08:00
M-1017,Jerome,Ignacio,jerome.ignacio@yahoo.com,+63 977 266 1307,Silver,371,7631.00,2026-04-30T21:08:50+08:00
M-1018,Charmaine,Navarro,charmaine.navarro@gmail.com,+63 998 464 5180,Silver,20,7547.00,2026-03-28T16:25:58+08:00
M-1019,Dianne,Soriano,dianne.soriano@gmail.com,+63 998 701 7548,Silver,140,8625.00,2026-03-19T15:27:54+08:00
M-1020,Mark,Torres,mark.torres@aim.edu.ph,+63 918 455 8545,Silver,223,7158.00,2026-01-11T03:42:46+08:00
M-1021,Patricia,Tomas,patricia.tomas@icloud.com,+63 928 215 1087,Gold,814,16644.00,2026-02-10T13:25:23+08:00
M-1022,Nicole,Castro,nicole.castro@outlook.ph,+63 927 104 7572,Silver,326,9263.00,2026-06-17T00:27:44+08:00
M-1023,Katrina,Domingo,katrina.domingo@outlook.ph,+63 927 284 4258,Silver,65,8074.00,2026-01-26T22:14:51+08:00
M-1024,Kenneth,Rivera,kenneth.rivera@icloud.com,+63 998 126 4762,Silver,125,6721.00,2026-02-21T20:42:08+08:00
M-1025,Katrina,Bernardo,katrina.bernardo@icloud.com,+63 918 206 6326,Silver,169,6681.00,2026-03-29T09:06:50+08:00
M-1026,Justin,Ignacio,justin.ignacio@gmail.com,+63 945 945 3010,Gold,1368,18577.00,2026-04-30T18:36:20+08:00
